sUlamiti	mUlamiti
grahamya	grahasya
yaqivaraM	yadvivaraM
merza	ityevaM
sADu	sADu
pratiBAti	pratiBAti
mUlapustake$sAQa़ruka़tAyAM	mUlapustake$smadgurukftAyAM
sUrCasiqAntasuvAvarzigayAM	sUryasidDAntasuDAvarziRyAM
ca	ca
mEOnAjAderatiSayacalA	mInAjAderatiSayacalA
gIGawAde	goGawAdeH
iti	iti
pAWa	pAWaH
2	2
suDAvarpigayAma	suDAvarziRyAm
kuMhiraRakalE$nte$	kuhiraSakale$nte
D	ca
kuliraRakale$nepra$timandA	mandA
iti	iti
pAWaya	pAWaH
25	25
૨ટ8	9
siqrAnsaplorabure	sidDAntaSeKare
SEDe	SeGre
kendre	kendre
pUrvaJIke	pUrvaSloke
SIGrIcAdityAraBya	SIGroccAdityAraBya
tatrAvaSeza	tatrAvaSeza
ityantena	ityantena
yacCIGnakendrasPuwIkaraRamutaM	yacCIGrakendrasPuwIkaraRamuktaM
tadiha	tadiha
SeGrakendraSabdena	SEGrakendraSabdena
gwadyate	gfhyate
tasmin	tasmin
SIGrakendra	SIGrakendre
mOnAjAdO	mInAjAdO
mInamAraBya	mInamAraBya
mezaparyantamatiSyacalA	mezaparyantamatiSayacalA
atiSIGretyarTaH	atiSIGretyarTaH
taTA	taTA
SreIGrakendraM	SIGrakendre
gIGawAdvI	goGawAdO
sati	sati
dvazakunBAdO	vfzakumBAdO
SIGrA	SIGrA
miTunamakarAdO	miTunamakarAdO
tu	tu
nEsargikI	nEsargikI
nisargasidDA	nisargasidDA
BandagatirityarTaH	mandagatirityarTaH
kakryAdyaDe	karkyAdyarDe
Danuzo$ntyaKaRqe	Danuzo$ntyaKaRqe
mandA	mandA
gati	gatiH
cApasyAdyarDe	cApasyAdyarDe
kulIrasya	kulIrasya
kervAwakasDa	karkawakasya
CandIBaNgaBayAt	CandoBaNgaBayAt
haKotiA	hrasvokti
kulirasyAntyaSakale^timandA	kulirasyAntayaSakale$timandA
gati	gatiH
pradizwA	pradizwA
itaratva	itaratra
vikalA	vikalA
gatiriti	gatiriti
drazwavyam	drazwavyam
iti	iti
granhARAmazwaDA	grahARAmazwaDA
Sakzitta	gatirasti
taduktaMspEsTiAnin^vakrAnuvatA	taduktaM^sUryasidDAntevakrAnuvaktA
vikalA	vikalA
mandA	mandA
mandatarA	mandatarA
samA	samA
SIGrA	SIGrA
SIGratarA	SIGratarA
ceti	ceti
grahARAmazwaDA	grahARAmazwaDA
gatiH	gatiH
iti	iti
6o	60
idAnI	idAnIM
kujaguruSanInAsudayAstamayakendraparijYAnArya	kujaguruSanInAmudayAstamayakendraparijYAnArTaM
vasantatilakamANga–^vaKaSiKaBi	vasantatilakamAhavasvaSviBi
28	28
ryugakuBi	ryugakuBi
14	14
rnagacandramABi17	rnagacandramoBiH^17
prAcyuNgamaH	prAcyudgamaH
citijajIvaSaneSvarARAm	kzitijajIvaSanEScarARAm
1SIGrAKyakendrajalavErBagaRAMSaSuqa़eraBi	1SIGrAKyakendrajalavErBagaRAAMSaSudDEreBiH
punarniyatamasta2maya	punarniyatamasta2^mayaH
pratOcyAm	pratIcyAm
61	61
vaKaSKiBi	vasvaSviBiH
azwAviMSatyA	azwAviMSatyA
28	28
BAgEH	BAgEH
SIGrAKyakendrajalavEH	SIGrAKyakendrajalavEH
SIGrakEnwraBAge	SIGrakendraBAgEH
citijasya	kzitijasya
prAyuNgama	prAcyudgamaH
prAcyAmudaya	prAcyAmudayaH
yugakuBiScaturdaSaBi	yugakuBiScaturdaSaBiH
14	14
SIGrakendraBAgE	SIGrakendraBAgEH
jIvasya	jIvasya
prAyuNgama	prAcyudgamaH
nagacandramIBi	nagacandramoBiH
saptadaSaBiH	saptadaSaBiH
7	17
SIGrakendrAMSEH	SIGrakendrAMSEH
SaneH	SaneH
prAyuNgamaH	prAcyudgamaH
prAyuNgamInnacEva	prAcyudgamoktyEva
paScAdaKatamaya	paScAdastamaya
iti	iti
jYAyate	jYAyate
BagaRAMSSurze	BagaRAMSaSudDEH
maRqalAMSAMguqEreBiH	maRqalAMSaSudDEreBiH
KodayaBAgEH	svodayaBAgEH
niyataMgamatIcyAmastamaya	niyataM^pratIcyAmastamayaH
uktA	uktA
eva	eva
KowyaBAgASaktagBya	svodayaBAgaScakrAMSeByaH
36•	360
SucAH	SudDAH
kAryA	kAryAH
taca	tatra
SizwA	SizwAH
KAstamayaBAgA	svAstamayaBAgAH
tatrAtItAnAgatadinajYAnaM	tatrAtItAnAgatadinajYAnaM
kendradyuBuktayA	kendradyuBuktyA
punarapi	punarapi
iraRe	haraRe
yAtayeyAnyaccAnOtyutAnyAyena	yAtayeyAnyahAnItyuktanyAyena
kAryam	kAryam
1	1
mU	mU
pustake	pustake
SEGrAKyajalapErBagaRAMRa	SIGrAKyajalapErBagaRAMSa
iti	iti
taTA^2	taTA2
SraSca	atra
mastamaryaM	mastamayaM
iti	iti
ca	ca
pAWaH	pAWaH
sPuwADyAyaH	sPuwADyAyaH
으냈	195
Sratra	atra
vAsanAravikactAyAM	vAsanAravikakzAyAM
sarvadA	sarvadA
graha	grahaH
pratimaRqalanIcIYcadvattamaDye	pratimaRqalanIcoccavfttamaDye
BavatItyatI	BavatItyato
yadA	yadA
parama	parame
pratimaRqalIcapradeSe	pratimaRqaloccapradeSe
grahfi	grahaH
sTitI	sTito
Bavati	Bavati
tadA	tadA
samareKADIgrahf	samareKADograhaH
ravikaranikarpichfitadfzwiBi	ravikaranikarapihitadfzwiBiH
tatI	tato
yaTA	yaTA
yaTA	yaTA
grahriI$kOwvalambata	graho$rkAdavalambate
taTA	taTA
praTamamevIdyaM	praTamamevodayaM
yAti	yAti
raveH	raveH
SIGratvAdarkasyAstamaye	SIGratvAdarkasyAstamaye
viparivarttoM	viparivarttI
SIGraBogInAka	SIGraBogonArkaH
punagrahamAsAdayati	punargrahamAsAdayati
paKimadigviBAgataH	paScimadigviBAgataH
ata	ata
evAstaNgato$rkAdraho$valambate	evAstaNgato$rkAdgraho$valambate
prakAgrata	arkAgrata
upalaByate	upalaByate
upAstamayaM	upAstamayaM
yAvad	yAvad
Bavati	Bavati
vasvaSvyAdiBAganiyamaSca	vasvaSvyAdiBAganiyamaSca
yantreraBiyogAtiSyAddA$$cAryeRa	yantrEraBiyogAtiSayAdvA$$cAryeRa
jYAta	jYAtaH
evamastagata$rka	evamastagate$rke
grahRa	grahaH
paScimAyAM	paScimAyAM
diSi	diSi
dfSyate	dfSyate
idaM	idaM
sarvaM	sarvaM
kacAmaRqalAdizu	kakzAmaRqalAdizu
darSayet	darSayet
61	61
aTa	aTa
vuDaSukraryorudayAstamayajYAnAya	buDaSukrayorudayAstamayajYAnAya
vasantatilakamAYca^drAkkendraja	vasantatilakamAhadrAkkendrajEH
KavizayESva	KavizayESca
5O	50
jinESva	jinESca
24	24
BAgEsaNgacCatI2	BAgErudgacCato^2
buDasitO	buDasitO
diSi	diSi
pASapAReH	pASapAReH
tasyA3mapIzutiTiBi	tasyA3mapIzutiTiBiH
155	155
svaraSelacandre	svaraSElacandrEH
177	177
BAgEstayornigaditI$stamayI	BAgEstayornigadito$stamayo
grahfjYE^w^2	gahajYEH62
pASapARervaruRasya	pASapARervaruRasya
diSi	diSi
uhacCataH	udgacCataH
udayaM	udayaM
gacCataH	gacCataH
paYcASatA	paYcASatA
50	50
BAgEH	BAgEH
buDasya	buDasya
paScAdudayaH	paScAdudayaH
caturviMSati	caturviSati
24	24
BAgE	BAgEH
Sukrasya	Sukrasya
tasya	tasyAM
pratIcyAM	pratIcyAM
tayoH	tayoH
buDaSukrayI	buDaSukrayoH
kramAdizutiTiBi	kramAdizutiTiBiH
155	155
KaraSelacandre	svaraSElacandrE
177	177
BOgErastamayo$pi	rBAgErastamayo$pi
grahrijYErnigadita	grahajYErnigadita
ityarTe	ityarTaH
etErevIdayAstamayaBAge	etErevodayAstamayaBAgEH
cakrAMSSudDe	cakrAMSaSudDEH
prAgudayAstamayO	prAgudayAstamayO
syAtAm	syAtAm
1	1
aca	atra
pustakAntarAlABe	pustakAntarAlABe
AdarSa	AdarSe
yaTopalabDa	yaTopalabDaM
taTEva	taTEva
liKitam	liKitam
azwayamE	azwayamEH
28	28
kvatacandra	kftacandrE
14muMnOnduBi	14^rmunInduBi
17	17
BOMmajOvaravijAnAm	rBOmajIvaravijAnAm
udaya	udayaH
prAgastamayadAdUnacakrAMSukE	prAgastamayastadUnacakrAMSakEH
paScAt	paScAt
'is	KaSarE
35	50
aMktirDrIrizutiDiBi155rmuniScedaBi9944	rjYasitayorizutiTiBi^155^rmuninagenduBiH
udayAstamayO	udayAstamayO
vyastO	vyastO
maRqlaBAgE	maRqalaBAgE
36	360
stadUnE	stadUnEH
prAk	prAk
9	2
iti	iti
brahmaguptIktAnfdayAstakendramAnAnyeva	brahmaguptoktAnyudayAstakendramAnAnyeva
SrIpatinA	SrIpatinA
BAskareRa	BAskareRa
ca	ca
kfndo$ntaraMRa	Cando$ntareRa
liKitAnIti	liKitAnIti
2	2
aca	atra
buDasitAdiSivASapARe	buDasitAdiSivASapARe
iti	iti
mU	mU
pAWa	pAWaH
3	3
atra	atra
mapEOzwatiTiBi	mapIzwataTiBiH
iti	iti
mU	mU
pustake	pustake
SrA	A
pustake	pustake
ca	ca
pAWastaTEva	pAWastaTEva196
sidDAntaReKare	sidDAntaSeKare
udayAstamayI	udayAstamayO
vyasteI	vyastO
maRqalaBArgestadUrnEH	maRqalaBAgestadUnEH
prIgityayamAryArDasyArTe	prA^gityayamAryArDasyArTaH
padyAdudayaBAgA	paScAdudayaBAgA
buDasya	buDasya
KavizayAH	KavizayAH
50	50
tAnJaRqalaBAgEByo	tAnmaRqalaBAgeByo
viSoDya	viSoDya
SizwA	SizwAH
KendvagnayaH	KendvagnayaH
310	310
tErbuDasya	tErbuDasya
prAgastamayaH	prAgastamayaH
taTA	taTA
SukrasyAparIdayaBAgA	SukrasyAparodayaBAgA
jinA	jinA
24	24
stAMSvakrAMSeByo	stAMScakrAMSeByo
viSIDya	viSoDya
SizwA	SizwA
rasAgniguRA	rasAgniguRAH
336	336
tAvadBiH	tAvadBiH
Sukrasya	Sukrasya
prAgasta^maya	prAgastamayaH
taTA	taTA
paKAdudayaBAgA	paScAdudayaBAgA
1	1
buDasyezutiTayaH	buDasyezutiTayaH
155	155
tAMKakrAMSeByo	tAMScakrAMSeByo
viSoDya	viSoDya
SezAH	SezAH
SaraKayamA	SaraKayamAH
205	205
tAvadBirBAgErbuDasya	tAvadBirBAgErbuDasya
prAgudayo	prAgudayo
Bavati	Bavati
taTA	taTA
paScAdastamayaBAgAH	paScAdastamayaBAgAH
Sukrasya	Sukrasya
KaraSElacandrA	svaraSElacandrA
177	177
stAMccakrAMgiByo	stAMScakrAMSeByo
viSoDya	viSoDya
SozAKivasu^candrAH	SezAstrivasucandrA
183	183
Sukkasya	Sukrasya
teH	tEH
prAgudayaTevamuktAni	prAgudayaH^evamuktAni
buDaSukrayo	buDaSukrayoH
paYcAdudayAstamayakaॅnwrARi	paScAdudayAstamayakendrARi
prAgudayAstamayakendrARi	prAgudayAstamayakendrARi
ca	ca
teByo$tItAnAgatadinAnayanaM	teByo$tItAnAgatadinAnayanaM
prAgvat	prAgvat
mandaPalamPuwaBuktUenayA	mandaPalasPuwaBuktyUnayA
SOGragatyA	SIGragatyA
kendrAntaraM	kendrAntaraM
vakrAvakravat	vakrAvakravat
kAryamiti	kAryamiti
atra	atra
yuktiSIGragatilvAhuDaSuktayI	yuktiHSIGragatitvAdbuDaSukrayoH
paScAdavalambanaM	paScAdavalambanaM
Bavati	Bavati
ato$staM	ato$staM
gate	gate
ravO	ravO
paSvimAyAM	paScimAyAM
diSi	diSi
tAvupalaByeta	tAvupalaByete
yadA	yadA
ca	ca
vakragAmimO	vakragAmimO
BavatastadA	BavatastadA
ravistAByAM	ravistAByAM
SIGraMI	SIGro
Bavati	Bavati
prAggatO	prAggatO
ca	ca
tO	tO
paSvAdvalambeti	paScAdavalambete
tatastuyo	tatastayoH
prAgudyo	prAgudayo
BImaguruSnInAmivAstamayaSca	BOmaguruSanInAmivAstamayaSca
vEparItyAt	vEparItyAt
SIzamanyagranhavat	Sezamanyagrahavat
kacatAsrarAqlAwWIni	kakzAmaRqalAdIni
vinDasya	vinyasya
pradarSayet	pradarSayet
gIle	gole
CedyakevABAgaparikfptiriyamapi	Cedyake^BAgapariklfptiriyamapi
ciptayorarvati	kziptayoreveti
62	62
idAnIM	idAnIM
sarvagrahARAM	sarvagrahARAM
krAntijyAnayanaM	krAntijyAnayanaM
raToccatAdvatenAhaprasPuwa2dyumaRibAhraSiYjinO	raTodDatAvfttenAha^prasPuwa2dyumaRibAhuSiYjinO
tAqa़itA	tAड़itA
3	3
$Ta	$Ta
paramApamajyayA	paramApamajyayA
BAjitA	BAjitA
padasamutTajIvayA	padasamutTajIvayA
syA4daBOzwasamayApramajyakA	syA4daBIzwasamayApamajyakA
63	63
SraSca	atra
buDasyezwftadyaya	^buDasyezwatiTayaH
ifta	iti
Srar	A
vastakaM	pustake
caNkzABinive5Ka	aNkABiniveSastu
Ncartā	kutrApi
nanKyA^~taM	nAstyeveti
2	2
atra	atra
himaRi	dvimaRi
iti	iti
mU	mU
pAWa	pAWaH
3	3
Batra	atra
tAqa़itATa	tAड़itATa
paramAvamajyayA	paramAvamajyayA
iti	iti
yA	A
pAWaKayA	pAWastaTA
tAqa़itA	tAड़itA
KavaramAvamajyayA	svavaramAvamajyayA
iti	iti
mU	BU
pAWa	pAWaH
4	4
aca	atra
syAdarBOzwavaramA	syAdaBIzwavaramA
iti	iti
sU	mU
pAWa	pAWaH
sPuwADyAya	sPuwADyAyaH
২৪৩	197
atra	atra
dyumaRigrahaRaM	dyumaRigrahaRaM
sarvagrahopalacRArTam	sarvagrahopalakzaRArTam
tenAyamarTizwagrahasyAyanAMSayuktasya	tenAyamarTaHizwagrahasyAyanAMSayuktasya
yA	yA
bAhuRiYjinI	bAhuSiYjinI
dojyo	dorjyA
sA	sA
1	1
paramApamajyayA	paramApamajyayA
nAgastambaramaguRaBU1388	nAgastamberamaguRaBU1388
saMKyayA	saMKyayA
tAqa़itA	tAड़itA
padasamutTajIvayA	padasamutTajIvayA
trijyayaL3515BAjitA	trijyayA^3415^BAjitA
praBIzwasamayA2pamajyakA	aBIzwasamayA2pamajyakA
dfzwakAlApakramajyA	izwakAlApakramajyA
syAt	syAt
sA	sA
ca	ca
vizuvanamaRqalasya	vizuvanmaRqalasya
daciroInIttareRa	dakziRenottareRa
vA	vA
Bavati	Bavati
sEva	sEva
raveH	raveH
sPuwA	sPuwA
krAntijyA	krAntijyA
Bavati	Bavati
candrAdInAM	candrAdInAM
punaSvApIkkatA	punaScApIkftA
samAnyadiSI	samAnyadiSoH
KavikzepayutaviyutA	svavikzepayutaviyutA
sartI	satI
sPuwA	sPuwA
krAntirBavati	krAntirBavati
SratrayaM	atreyaM
yukliyadA$pamaRqalasya	yuktiHyadA$pamaRqalasya
jyA	jyA
vyAsArDatulyA	vyAsArDatulyA
syAt	syAt
tadA$pamaRqalavicepamaRqalayorantaraM	tadA$pamaRqalavikzepamaRqalayorantaraM
jinaBAgajyAtuKyaM	jinaBAgajyAtulyaM
syAt	syAt
tajjayA	tajjyA
KakrAntijyA	svakrAntijyA
samAnyadiSoH	samAnyadiSo
sPuwakrAntiH	sPuwakrAntiH
syAt	syAt
yadA	yadA
punarizwagrachApamaRqalajyA	punarizwagrahApamaRqalajyA
tadA	tadA
tatra	tatra
pradeSe	pradeSe
vizuvanJaRqalena	vizu^vanmaRqalena
sahrApamaRqalaM	sahApamaRqalaM
kiyadantaramiti	oHkiyadantaramiti
PulamizwakrAttijyA	PalamizwakrAntijyA
yatI	yato
vizuvaddapamaRqalayorantaraM	vizuvadapamaRqalayorantaraM
krAntiH	krAntiH
sA	sA
ca	ca
mezAdAvapamaRqalArDe	mezAdAvapamaRqalArDe
sTitasya	sTitasya
uttarA	uttarA
tulAdO	tulAdO
dacviRA	dakziRA
raveH	raveH
sEva	sEva
sPuwA	sPuwA
yata	yataH
apamaRqala	apamaRqala
eva	eva
ravirBavati	ravirBavati
candrAdInAM	candrAdInAM
tu	tu
vimaRaqa़lavaSAt	vimaRqalavaSAt
BidyataM	Bidyate
mezAdyapamaRqalArDasTitA	mezAdyapamaRqalArDasTitA
api	api
grahRA	grahA
rASyAdiBAgErviIpavaSAdapamaRqalAddakziRenottareRa	rASyAdiBAgErvikzepavaSAdapamaRqalAddakziRenottareRa
vA	vA
3	3
Bavati	Bavanti
vimaRqalezu	vimaRqalezu
candrAdayo	candrAdayo
stramati	Bramanti
atastatkrAttijyAcApasya	atastatkrAntijyAcApasya
svavitipayutavirttInasya	svavikzepayutavihInasya
yA	yA
jyA	jyA
sA	sA
grahasya	grahasya
sPuwakrAntijyA	sPuwakrAntijyA
syAt	syAt
etallole	etadgole
pradarSayet	pradarSayet
63	63
izwakrAntyAnayane	izwakrAntyAnayane
upAyAntarra	upAyAntaraM
viBUtibbattenANGa	viBUtivfttenAha
bAhfSiYjinO	bAhuSiYjinI
rava	raveH
Kezu	Kezu
5O	50
tAqtiA$TavA	tAड़itA$TavA
rAmasUrya	rAmasUrya
123	123
BAjitA	BAjitA
syAdapakramajyakA	syAdapakramajyakA
64	64
aTavA	aTavA
raMvabAhujyA	raverbAhujyA
Kezu	Kezu
50	50
tAqitA	tAड़itA
vaNgisUrya	vahnisUrya
123	123
BAjiMtA	BAjitA
izwApakramajyA	izwApakramajyA
syAdityarTaH	syAdityarTaH
atra	atra
guRakAraBAgahArO	guRakAraBAgahArO
trijyA	trijyA
3415	3415
paramApakramajyaM	paramApakramajye
1388	1388
caturdaSaliptInayA$zwAviMSatyA	caturdaSaliptonayA$zwAviMSatyA
2746	2746
$vaktryAnItAviti	$varttyAnItAviti
jYa^yam	jYeyam
64	64
1	1
Sraca	atra
paramAvamajyAya	paramAvamajyAya
iti	iti
taTa2	taTA2
aca	atra
samayAvamajyayA	samayAvamajyayA
iti	iti
tayA3	taTA3
Sraca	atra
Bavati	Bavati
iti	iti
ca	ca
SrA	aA
pustake	pustake
Réー	198
sviqAntaSravari	sidDAntaSeKare
idAnIM	idAnIM
KAhorAtrArDachitijyeSrAnetu	svAhorAtrArDakzitijye^aAnetuM
SirallariRIdvattamANga^padaM	SiKariRIvfttamAhapadaM
1	1
yattattuijyAktAtivivarajAtaM	yattatrijyAkftivivarajAtaM
Bavati	Bavati
taw	tad
2	2
dyurAcivyAsArDe	dyurAtrivyAsArDaM
Brama	Brama
iti	iti
ca	ca
yaddA	yadvA
dinaguRaH	dinaguRaH
tatrijyACAtItyatra	tattrijyAkftItyatra
tacCabda^nezwakrAntijyA	tacCabdenezwakrAntijyA
gwahyate	gfhyate
tadayamarTizwakrAntijyA	tadayamarTaHizwakrAntijyA
trijyAktyorviverajAtaM	trijyAkftyorvivarajAtaM
yatpadaM	yatpadaM
tad	tad
dyurAtrivyAsArDaM	dyurAtrivyAsArDaM
syAt	syAt
tasyEvAnDavAmaddayamAhuH	tasyEvAnyannAmadvayamAhuH
Btrama	Brama
iti	iti
cocyateM	cocyate
etaduptA	etaduktaM
Bavatiizwasya	Bavatiizwasya
ravyAdigrahasyASKinyAdinaccasya	ravyAdigrahasyASvinyAdinakzatrasya
vA$pAMvatsasya	vA$pAMvatsasya
mfgavyADasya	mfgavyADasya
vA	vA
krAntijyAvarga	krAntijyAvarga
trijyAvargAddiSoDya	trijyAvargAdviSoDya
SezapadaM	SezapadaM
tasya	tasya
grahAdereva	grahAdereva
KAhorAtrazWattasya	svAhorAtravfttasya
vyAsArDa	vyAsArDe
Bavati	Bavati
taccottarakrAntO	taccottarakrAntO
vizuvata	vizuvat
uttareRa	uttareRa
syAt	syAt
tAvatA	tAvatA
vyAsArDena	vyAsArDena
yaddfttamutpAdyate	yadvfttamutpAdyate
tatra	tatra
dine$rceIrAtreRa	dine$horAtreRa
paYcANAsyan	paScAdBrAmyan
granqstAvaddattasutpAdayati	grahastAvadvattamutpAdayati
nacatrAdInAM	nakzatrAdInAM
sTirARyeva	sTirARyeva
KAhorAtrARIti	svAhorAtrARIti
Sratra	atra
vAsanAgolaM	vAsanAgolaM
vinyasya	vinyasya
vizuvata	vizuvata
uttareRa	uttareRa
dacitaRena	dakziRena
vA	vA
nirachacitijeM	nirakzakzitije
krAnticApatalyetantare	krAnticApatulye$ntare
sUtrasyEkamagraM	sUtrasyEkamagraM
vizuvato	vizuvato
dvitIyasyAM	dvitIyasyAM
diSi^nItvA	diSinItvA
tAvatyevAntara	tAvatyevAntare
tatrEvInmaRqale	tatrEvonmaRqale
baGnIyAt	baDnIyAt
taddacitraRIttarAyatamavatizWati	taddakziRottarAyatamavatizWate
tadarDaM	tadarDaM
krAntijyA	krAntijyA
tata	tataH
krAntyagre	krAntyagre
sUtrasyEkamayaM	sUtrasyEkamagraM
baDvA	baDvA
tato	tato
3	3
dvitIyaSalAkAyAM	dvitIyaSalAkAyAM
baDnIyAt	baDnIyAt
BUmaDyAt	BUmaDyAt
krAntijyAtulye$ntar	krAntijyAtulye$ntare
dfciRinottareRa	dakziRenottareRa
vA	vA
taraKAddIrAtram	tatsvahorAtram
evamidamAyatacaturastraM	evamidamAyatacaturasraM
cetitraM	kzetraM
vfvAparAyataM	pUrvAparAyataM
nirace	nirakze
syAt	syAt
sAce	sAkze
tUttareRIvrataM	tUttareRonnataM
krameRa	krameRa
yAvanmarustatra	yAvanmerustatra
samamaRqalaM	samamaRqalaM
praviSati	praviSati
asya	asya
citrasya	kzetrasya
krAntijyA	krAntijyA
kIwiH	kowiH
KAddIrAtrArDe	svAhorAtrArDaM
BujA	BujA
4	4
dda	dva
sampAtAh^maDyaM	sampAtAdBUDyaM
yAvat	yAvat
tAvatpUmARaM	tAvatpramARaM
vyAsArDaM	vyAsArDaM
kaRE	karRaH
tatkarRaktaH	tatkarRakfteH
kIwikAtiM	kowikftiM
projJaya	projJya
mUlaM	mUlaM
Bujeti	Bujeti
mUlaMgwahyatetacaKAcIrAtrArDam	mUlaM^gfhyate^tacca^svAhorAtrArDam
1	1
Sraba	atra
padaM	padaM
yacijyAyA	yattrijyAyAH
kvatiiti	kftiH^iti
taTA2	taTA2
Sraca	atra
hirAcavyAsADo	dvirAtravyAsArDaM
Bramamiti	Bramamiti
iti	iti
ca	ca
mU	mU
pAWa	pAWaH
3	3
Baca	atra
hitOyamaya	dvitIyamayaH
5lAkAyAM	SalAkAyAM
iti	iti
sADu	sADu
pratIyate	pratIyate
4	4
aca	atra
dayOBujakoovyO	dvayorBujakowyoH
sammAtAt	sampAtAt
dfti	iti
sADu	sADu
pratiBAti	pratiBAti
sPuwADyAyaH	sPuwADyAyaH
R	199
idAnI	idAnIM
1	1
kzitijAsuttarArDamAi^kuja	kzitijAmuttarArDamAhakujaH
syAt	syAt
krAntijyA	krAntijyA
palaguRahftA	palaguRahatA
lambavihftA	lambavihftA
palacCAyA$ByastA	malacCAyA$ByastA
dinamaRi	dinamaRi
12	12
hftA	hftA
vA$vaniguRaH65	vA$vuniguRaGa^65
dfzwakrAntijyA	izwakrAntijyA
palaguRenAcajyayA	palaguRenAkzajyayA
hatA	hatA
lambIna	lambena
KadeSalambakEna	svadeSalambakena
hratA	hatA
kujA	kujA
cirtijyA	kzitijyA
syAt	syAt
upAyAntaramAipale^ti	upAyAntaramAhapaleti
sEva	sEva
krAttijyA	krAntijyA
palacCATayo	palacCAyayA
vizuvacCAyayA$ByastA	vizuvacCAyayA$ByastA
dinamaRiBi	dinamaRiBiH
dvAdaSaBi	dvAdaSaBi
12	12
hftA	rhftA
avaniguRa	avaniguRaH
citijyA	kzitijyA
হ্যাবিনি	syAditi
aca	atra
vAsanA	vAsanA
trErASktaHisidDA	trErASikasidDA
2	2
yadi	yadi
lasakIwI$catjyA	lambakowyo$kzajyA
tadA	tadA
BujA	BujA
tadA$pakramakIwikasya	tadA$pakramakowikasya
keti	keti
citijyA$vAptiH	kzitijyA$vAptiH
uttaratrApi	uttaratrApi
KaweSalambakaM	svadeSalambakaM
dvAdaSaBihnatvA	dvAdaSaBirhftvA
yallaByate	yallaByate
tenAnOtO	tenAnIto
guRakAraBAgaNgArIT	guRakAraBAgahArO
anyaddAsanAdikaM	anyadvAsanAdikaM
zvadfNgAskarIyavyAKyAne	bfhadBAskarIyavyAKyAne
gaRitavilAse$smABi	gaRitavilAse$smABiH
3	3
prapaYcitamityUparasyati	prapaScitamityuparamyate
65	65
idAnImupAyaddayaM	idAnImupAyadvayaM
KAhIrAtrArDavfttAnayana	svAhorAtrArDavfttAnayana
indramAlAvfttenAha^aprakramAMSoblAmajIvaTA	indramAlAvfttenAhaapakramAMSoktamajIvayA
vA	vA
IOnA4	hInA4
ciBajyA	triBajyA
Bavati	Bavati
dyujOvA	dyujIvA
krAntytya5cApAnapadakramabayA~————	krAntyutTa5cAponapradakramajyA
vanti	vadanti
vA	vA
6	6
golavido	golavido
dinajyAm	dinajyAm
68	66
1	1
aca	atra
kzitijyAmuttarArDanAi	kzitijyAmuttarArDenAha
dfti	iti
sADu	sADu
pratiBAti	pratiBAti
mU	mU
pustakekujAsyAt	pustake^kujAsyAt
kAntijyAvalaratuRagatAla^va^vidftA	krAntijyAvalaguRagatAlambavihftAH
PalacCAyAByastI	PalacCAyAByasto
dinamaRidftI	dinamaRihfto
vApamaguRA	vApamaguRAH
iti	iti
pAWa	pAWaH
2	2
yadi	yadi
lamba^jyAkIwyA$cajayA	lambajyAkowyA$kzajyA
BujastadA$pakramajagrAkIwe	BujastadA$pakramamajyAkoweH
ka	iti
iti	iti
sADuM	sADu
pratiBAti	pratiBAti
3	3
Srava	atra
prapaYcitetyuparamyate	prapaYcitetyaparamyate
iti	iti
SrA	aA
pustake	pustake
4	4
Sraca	atra
hInAM	hInAM
iti	iti
taTA	taTA
5	5
aca	atra
krAntugratyapaYcApAna	krAntyatTapaccApAna
padakramAjGA	padakramAjyA
dvati	iti
taTA6	taTA6
aca	atra
gIkavido	gokavido
iti	iti
ca	ca
mU	mU
pAWa	pAWaH
SrapakramajyAyAdyApICAtAyA	200^sidDAnteSeKare^apakramajyAyAScApIkftAyA
ye$SAstezAmutkramajOvA	ye$MSAstezAmutkramajIvA
ulkumAdaTa	utkramAdaTa
nagA	nagA
navASKina	navASvinaH
ityAdyA	ityAdyA
tayA	tayA
hInA	hInA
yA	yA
triBajyA	triBajyA
trirASijyA	trirASijyA
sA	sA
dadyujObA	dyujIvA
KAhorAtrArDa^jyA	svAhorAtrArDajyA
Bavati	Bavati
yadA	yadvA
SrapakramacApena	apakramacApena
UnaM	UnaM
yatpadaM	yatpadaM
rASitrayaM	rASitrayaM
liptAtmakaM	liptAtmakaM
tasya	tasya
kramajyAM	kramajyAM
guRadasvabAhrava	guRadasrabAhava
dUtyAdikAM	ityAdikA
golavida	golavidaH
dinajyAM	dinajyAM
vadantItyanvayATOM	vadantItyanvayArTO
atra	atra
vAsanAukAM	vAsanAuktaM1
2purastAtpadyet	purastAtpadayet
tacijyAkAtivivarajAtamityatra	tattrijyAkftivivarajAtamityatra
pUrvAparAyatasya	pUrvAparAyatasya
caturasractatrasyAvasTAnaM	caturasrakzetrasyAvasTAnaM
tatra	tatra
krAntijyA	krAntijyA
kIwi	kowiH
svAnheIrAtraM	svAhorAtraM
BujA	BujA
vyAsArDa	vyAsArDaM
karRa	karRaH
66	66
SraDunA	aDunA
carajyABAnetu	carajyAmAnetuM
raTodDatAdvaktamAha^trijyamA	raTodDatAvfttamAhatrijyayA
vinihatA	vinihatA
2mahOBuvA	2mahIBuvA
duyujyayA$Ta	dyujyayA$Ta
vihftA	vihatA
carajyakA	carajyakA
